Handle,Tracklist,Format,Label,ReleaseYear
marvin-gaye-collected-lp-new-vinyl-movlp1818,"1. (I'm Afraid) The Masquerade Is Over 
2. Let Your Conscience Be Your Guide 
3. Hitch Hike 
4. Pride And Joy 
5. Can I Get A Witness 
6. Once Upon A Time 
7. Stubborn Kind Of Fellow 
8. How Sweet It Is (To Be Loved By You) 
9. It Takes Two 
10. I'll Be Doggone 
11. Ain't That Peculiar 
12. Ain't No Mountain High Enough 
13. I Heard It Through The Grapevine 
14. Ain't Nothing Like The Real Thing 
15. You're All I Need To Get By 
16. Too Busy Thinking About My Baby 
17. What's Going On 
18. Mercy Mercy Me (The Ecology) 
19. Inner City Blue (Make Me Wanna Holler) 
20. Trouble Man 
21. Let's Get It On 
22. You Are Everything 
23. Distant Lover 
24. I Want You 
25. Got To Give It Up 
26. Heavy Love Affair 
27. Sexual Healing 
28. Sanctified Lady ",Vinyl,"Music On Vinyl, Universal Music",2017
marvin-gaye-greatest-hits-live-in-76-lp-new-vinyl-4822795,"1. Inner City Blues (Make Me Wanna Holler) (Live) 
2. What's Going On (Live) 
3. Trouble Man (Live) 
4. Let's Get It On (Live) 
5. Distant Lover (Live) 
6. Got To Give It Up (Live) 
7. Sexual Healing (Live) 
8. After The Dance (Live) 
9. Come Get To This (Live) ","1xVinyl, LP, Album, Live, Reissue","Motown, UMe",2019
marvin-gaye-in-our-lifetime-lp-new-vinyl-0600753534304,"1. Praise 
2. Life Is For Learning 
3. Love Party 
4. Funk Me 
5. Far Cry 
6. Love Me Now Or Leave Me Later 
7. Heavy Love Affair 
8. In Our Lifetime ",Vinyl,"Motown, Tamla",2016
marvin-gaye-lets-get-it-on-lp-new-vinyl-5353425,"1. Let's Get It On (4:44)
2. Please Don't Stay (Once You Go Away) (3:32)
3. If I Should Die Tonight (3:57)
4. Keep Gettin' It On (3:12)
5. Come Get To This (2:40)
6. Distant Lover (4:15)
7. You Sure Love To Ball (4:43)
8. Just To Keep You Satisfied (3:12)",Vinyl,"Tamla, Tamla",2016
marvin-gaye-lets-get-it-on-lp-new-vinyl-5826442,"1. Let's Get It On 
2. Please Stay (Once You Go Away) 
3. If I Should Die Tonight 
4. Keep Gettin' It On 
5. Come Get To This 
6. Distant Lover 
7. You Sure Love To Ball 
8. Just To Keep You Satisfied ","1xVinyl, LP, Album, Coloured Vinyl, Red Vinyl, Gatefold, Reissue","Tamla, Motown, UMe",2023
marvin-gaye-that-stubborn-kinda-fellow-lp-new-vinyl-0600753536469,"1. Stubborn Kind Of Fellow 
2. Pride & Joy 
3. Hitch Hike 
4. Get My Hands On Some Lovin' 
5. Wherever I Lay My Hat 
6. Soldier's Plea 
7. It Hurt Me Too 
8. Taking My Time 
9. Hello There Angel 
10. I'm Yours, You're Mine ",Vinyl,"Tamla, Motown",2015
marvin-gaye-whats-going-on-lp-new-vinyl-0602435968353,"1. What's Going On (4:00)
2. What's Happening Brother (2:57)
3. Flyin' High (In The Friendly Sky) (3:40)
4. Save The Children (4:06)
5. God Is Love (1:44)
6. Mercy Mercy Me (The Ecology) (3:03)
7. Right On (7:15)
8. Wholy Holy (3:06)
9. Inner City Blues (Make Me Wanna Holler) (5:30)
10. What's Going On (Stripped Version) (3:57)
11. What's Going On (Mix 1 / No Strings Or Horns) (3:54)
12. What's Going On (Rhythm 'n' Strings Instrumental Mix) (3:50)
13. Symphony (Demo Version) (2:49)
14. Original Mono Singles 
15. What's Going On (3:54)
16. God Is Love (2:51)
17. Mercy Mercy Me (The Ecology) (2:30)
18. Sad Tomorrows (2:22)
19. Inner City Blues (Make Me Wanna Holler) (2:58)
20. Wholy Holy (3:09)","Vinyl, Vinyl, All Media","UMe, Tamla",2022
marvin-gaye-whats-going-on-live-lp-new-vinyl-0602577612008,"1. Sixty-Three (Intro) 
2. Wholy Holy 
3. Inner City Blues (Make Me Wanna Holler) 
4. What's Going On 
5. What's Happening Brother 
6. Flyin' High (In The Friendly Sky) 
7. Save The Children 
8. God Is Love 
9. Mercy Mercy Me (The Ecology) 
10. Right On 
11. Sad But True 
12. Heavy Love Affair 
13. Distant Lover 
14. Inner City Blues (Reprise) ","2xVinyl, LP, Album, Live, Gatefold","Motown, UMe",2025
genesis-abacab-lp-new-vinyl-0081227955328,"1. Abacab 
2. No Reply At All 
3. Me And Sarah Jane 
4. Keep It Dark 
5. Dodo / Lurker 
6. Who Dunnit? 
7. Man On The Corner 
8. Like It Or Not 
9. Another Record ",Vinyl,"Atlantic, Rhino Records (2)",2018
genesis-bbc-broadcasts-lp-new-vinyl-3568637,"1. Musical Box (Live in Paris 1972) 
2. Stagnation (Sounds Of The 70's 1971) 
3. Harlequin (Peel Sessions January 1972) 
4. Harold The Barrel (Peel Sessions January 1972) 
5. Get 'Em Out By Friday (Top Gear September 1972) 
6. Watcher Of The Skies (In Concert 1975) 
7. Dancing With The Moonlit Knight (Lyceum 1980) 
8. Carpet Crawlers (Lyceum 1980) 
9. Squonk (Knebworth 1978) 
10. Follow You Follow Me (Knebworth 1978) 
11. Misunderstanding (London 1980) 
12. Turn It On Again (London 1980) 
13. Mama (Wembley 1987) 
14. That's All (Wembley 1987) 
15. Invisible Touch (Wembley 1987) 
16. Throwing It All Away (Wembley 1987) 
17. No Son Of Mine (Knebworth 1992) 
18. Driving The Last Spike (Knebworth 1992) 
19. Calling All Stations (Poland 1998) 
20. Congo (Poland 1998) 
21. Not About Us (Poland 1998) ","3xVinyl, LP, Box Set, Live, Trifold Sleeve",EMI Records,2023
